2021-07-16 17:07:46.013 30561-30561/? I/.HappySingapor: Late-enabling -Xcheck:jni
2021-07-16 17:07:46.026 30561-30561/? I/.HappySingapor: Unquickening 22 vdex files!
2021-07-16 17:07:46.026 30561-30561/? E/.HappySingapor: Unknown bits set in runtime_flags: 0x40000000
2021-07-16 17:07:46.038 30561-30561/? E/RefClass: java.lang.reflect.InvocationTargetException
2021-07-16 17:07:46.038 30561-30561/? I/OneTrace: Mark active for pid=30561? true
2021-07-16 17:07:46.064 30561-30561/? V/studio.deploy: Startup agent attached to VM
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->uncaughtExceptionPreHandler:Ljava/lang/Thread$UncaughtExceptionHandler; (greylist, linking, allowed)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->init(Ljava/lang/ThreadGroup;Ljava/lang/Runnable;Ljava/lang/String;J)V (greylist-max-o, linking, denied)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->init(Ljava/lang/ThreadGroup;Ljava/lang/Runnable;Ljava/lang/String;JLjava/security/AccessControlContext;)V (blacklist, linking, denied)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->init(Ljava/lang/ThreadGroup;Ljava/lang/Runnable;Ljava/lang/String;JLjava/security/AccessControlContext;)V (blacklist, linking, denied)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->name:Ljava/lang/String; (greylist, linking, allowed)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/ThreadGroup;->addUnstarted()V (greylist-max-o, linking, denied)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->init2(Ljava/lang/Thread;)V (greylist-max-o, linking, denied)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->contextClassLoader:Ljava/lang/ClassLoader; (greylist, linking, allowed)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/ThreadLocal;->createInheritedMap(Ljava/lang/ThreadLocal$ThreadLocalMap;)Ljava/lang/ThreadLocal$ThreadLocalMap; (greylist-max-o, linking, denied)
2021-07-16 17:07:46.118 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->interrupt0()V (blacklist, linking, denied)
2021-07-16 17:07:46.118 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->isCCLOverridden(Ljava/lang/Class;)Z (greylist-max-o, linking, denied)
2021-07-16 17:07:46.118 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread$Caches;->subclassAuditsQueue:Ljava/lang/ref/ReferenceQueue; (greylist-max-o, linking, denied)
2021-07-16 17:07:46.118 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread$Caches;->subclassAudits:Ljava/util/concurrent/ConcurrentMap; (greylist-max-o, linking, denied)
2021-07-16 17:07:46.118 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->processQueue(Ljava/lang/ref/ReferenceQueue;Ljava/util/concurrent/ConcurrentMap;)V (greylist-max-o, linking, denied)
2021-07-16 17:07:46.118 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->nativeCreate(Ljava/lang/Thread;JZ)V (greylist-max-o, linking, denied)
2021-07-16 17:07:46.118 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->nativeGetStatus(Z)I (greylist-max-o, linking, denied)
2021-07-16 17:07:46.118 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->nextThreadID()J (greylist-max-o, linking, denied)
2021-07-16 17:07:46.118 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->threadSeqNumber:J (greylist, linking, allowed)
2021-07-16 17:07:46.118 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->nextThreadNum()I (greylist-max-o, linking, denied)
2021-07-16 17:07:46.118 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->threadInitNumber:I (greylist-max-o, linking, denied)
2021-07-16 17:07:46.118 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->threadInitNumber:I (greylist-max-o, linking, denied)
2021-07-16 17:07:46.118 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->processQueue(Ljava/lang/ref/ReferenceQueue;Ljava/util/concurrent/ConcurrentMap;)V (greylist-max-o, linking, denied)
2021-07-16 17:07:46.118 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->defaultUncaughtExceptionHandler:Ljava/lang/Thread$UncaughtExceptionHandler; (greylist-max-o, linking, denied)
2021-07-16 17:07:46.118 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->setNativeName(Ljava/lang/String;)V (blacklist, linking, denied)
2021-07-16 17:07:46.118 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->setPriority0(I)V (blacklist, linking, denied)
2021-07-16 17:07:46.118 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->setUncaughtExceptionPreHandler(Ljava/lang/Thread$UncaughtExceptionHandler;)V (greylist-max-o,core-platform-api, linking, denied)
2021-07-16 17:07:46.118 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->sleep(Ljava/lang/Object;JI)V (greylist-max-o, linking, denied)
2021-07-16 17:07:46.118 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->sleep(Ljava/lang/Object;JI)V (greylist-max-o, linking, denied)
2021-07-16 17:07:46.118 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->blockedOn(Lsun/nio/ch/Interruptible;)V (greylist-max-o, linking, denied)
2021-07-16 17:07:46.118 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->blockerLock:Ljava/lang/Object; (greylist-max-o, linking, denied)
2021-07-16 17:07:46.118 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->blocker:Lsun/nio/ch/Interruptible; (greylist-max-o, linking, denied)
2021-07-16 17:07:46.118 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->dispatchUncaughtException(Ljava/lang/Throwable;)V (greylist, linking, allowed)
